row_id,waktu,tweet_id,username,tweet,web,kota,provinsi
31,3/24/2021 11:34,1.37E+18,mikirdoeloe,Satgas Penanganan Covid- 19 terus melakukan pemantauan terhadap Provinsi- Provinsi yang menerapkan kebijakan pemberlakuan  pembatasan Kegiatan Masyarakat tingkat kelurahan atau desa (PpkM Mikro) yang sudah memasuki tahap 4. ,https: / / t. co/ K4e9ZHQplw,,
32,3/24/2021 11:20,1.37E+18,Diskominfosantik Kalteng,gubernur H.  Sugianto Saran Pimpin Rapat Koordinasi pemberlakuan  pembatasan Kegiatan Masyarakat di wilayah Provinsi Kalteng bertempat di Aula Kantor bupati Kotawaringin barat,https: / / t. co/ gf93Dvy7zi,Kotawaringin barat,Kalimantan tengah
33,3/24/2021 11:15,1.37E+18,kaarsumawa. com," jumlah Desa Sudah Terapkan PpkM Mikro pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) Skala Mikro,  dalam rangka penanganan Covid- 19 sudah mulai diterapkan di  jumlah Desa di Kabupaten Sumawa. ",https: / / t. co/ dyDMHHc8mH,sumawa,
34,3/24/2021 10:58,1.37E+18,Humas Polsek Petir,Posko pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) ,https: / / t. co/ cGmSzVXYj5,,
35,3/24/2021 10:23,1.37E+18,Polsek Terentang kubu Raya,  Staf Pemerintahan Kecamatan Kecamatan Terentang  Kabupaten kubu Raya.   memberi himbauan 5M  Dalam rangka Pemberlakukan  pembatasan Kegiatan Masyarakat (PpkM) berbasis Mikro . ,https: / / t. co/ 3jEQ7IpkKh,kubu Raya,
36,3/24/2021 10:03,1.37E+18,Ponorogo Heat,Merujuk pada Surat Edaran bupati Ponorogo tentang pemberlakuan  pembatasan Kegiatan Masyarakat berbasis Mikro (PpkM) untuk proses  (PTM) sudah diizinkan,https: / / t. co/ 4oVYy7Tk8E,,
37,3/24/2021 9:40,1.37E+18,HUMAS Polsek bantul,"Polsek bantul mendampingi Tim Supervisi Maes Polri mengecek Posko pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) berbasis Mikro,   . ",https: / / t. co/ acP0U8fPDV,,
38,3/24/2021 9:33,1.37E+18,MCreative Palangka,Bhabinkamtibmas Desa Ramania Cek Dan Kontrol Posko pemberlakuan  pembatasan Kegiatan Masyarakat (PpkM) berbasis Mikro ,https: / / t. co/ GOkmFEpo69,,
39,3/24/2021 9:26,1.37E+18,Diskominfo SP Murung Raya,Launching Posko pemberlakuan  pembatasan Kegiatan Masyarakat Skala Mikro di Kelurahan beriwit,https: / / t. co/ WWkTa4J2ir,,
40,3/24/2021 9:13,1.37E+18,Diskominfo Kapuas,Dinkes Ikut Hadiri Rapat pemberlakuan  pembatasan Kegiatan Masyarakat ,https: / / t. co/ 01TKhGI8c8,,
